Isotope	Element	Mass_Isotope	conc	Coh_b	realCoh_b	ImCoh_b	Inc_b	realInc_b	ImInc_b	Coh_xs	Inc_xs	Scatt_xs	Abs_xs
57Fe	Fe	57	2.2	2.3	2.3	0.0	---	---	---	0.66	0.3	1	2.48
58Fe	Fe	58	0.3	15.(7.)	15.(7.)	0.0	0	0	0	28	0	28.(26.)	1.28
Co	Co	---	100	2.49	2.49	0.0	-6.2	-6.2	0.0	0.779	4.8	5.6	37.18
Ni	Ni	---	---	10.3	10.3	0.0	---	---	---	13.3	5.2	18.5	4.49
58Ni	Ni	58	68.27	14.4	14.4	0.0	0	0	0	26.1	0	26.1	4.6
60Ni	Ni	60	26.1	2.8	2.8	0.0	0	0	0	0.99	0	0.99	2.9
61Ni	Ni	61	1.13	7.60	7.60	0.0	(+/-)3.9	(+/-)3.9	0.0	7.26	1.9	9.2	2.5
62Ni	Ni	62	3.59	-8.7	-8.7	0.0	0	0	0	9.5	0	9.5	14.5
64Ni	Ni	64	0.91	-0.37	-0.37	0.0	0	0	0	0.017	0	0.017	1.52
Cu	Cu	---	---	7.718	7.718	0.0	---	---	---	7.485	0.55	8.03	3.78
63Cu	Cu	63	69.17	6.43	6.43	0.0	0.22	0.22	0.0	5.2	0.006	5.2	4.5
65Cu	Cu	65	30.83	10.61	10.61	0.0	1.79	1.79	0.0	14.1	0.4	14.5	2.17
Zn	Zn	---	---	5.680	5.680	0.0	---	---	---	4.054	0.077	4.131	1.11
64Zn	Zn	64	48.6	5.22	5.22	0.0	0	0	0	3.42	0	3.42	0.93
66Zn	Zn	66	27.9	5.97	5.97	0.0	0	0	0	4.48	0	4.48	0.62
67Zn	Zn	67	4.1	7.56	7.56	0.0	-1.50	-1.50	0.0	7.18	0.28	7.46	6.8
68Zn	Zn	68	18.8	6.03	6.03	0.0	0	0	0	4.57	0	4.57	1.1
70Zn	Zn	70	0.6	6.(1.)	6.(1.)	0.0	0	0	0	4.5	0	4.5(1.5)	0.092
Ga	Ga	---	---	7.288	7.288	0.0	---	---	---	6.675	0.16	6.83	2.75
69Ga	Ga	69	60.1	7.88	7.88	0.0	-0.85	-0.85	0.0	7.8	0.091	7.89	2.18
71Ga	Ga	71	39.9	6.40	6.40	0.0	-0.82	-0.82	0.0	5.15	0.084	5.23	3.61
Ge	Ge	---	---	8.185	8.185	0.0	---	---	---	8.42	0.18	8.6	2.2
70Ge	Ge	70	20.5	10.0	10.0	0.0	0	0	0	12.6	0	12.6	3
72Ge	Ge	72	27.4	8.51	8.51	0.0	0	0	0	9.1	0	9.1	0.8
73Ge	Ge	73	7.8	5.02	5.02	0.0	3.4	3.4	0.0	3.17	1.5	4.7	15.1
74Ge	Ge	74	36.5	7.58	7.58	0.0	0	0	0	7.2	0	7.2	0.4
76Ge	Ge	76	7.8	8.2	8.2	0.0	0	0	0	8.(3.)	0	8.(3.)	0.16
As	As	---	100	6.58	6.58	0.0	-0.69	-0.69	0.0	5.44	0.06	5.5	4.5
Se	Se	---	---	7.970	7.970	0.0	---	---	---	7.98	0.32	8.3	11.7
74Se	Se	74	0.9	0.8	0.8	0.0	0	0	0	0.1	0	0.1	51.8(1.2)
76Se	Se	76	9	12.2	12.2	0.0	0	0	0	18.7	0	18.7	85.(7.)
77Se	Se	77	7.6	8.25	8.25	0.0	(+/-)0.6(1.6)	(+/-)0.6(1.6)	0.0	8.6	0.05	8.65	42.(4.)
78Se	Se	78	23.5	8.24	8.24	0.0	0	0	0	8.5	0	8.5	0.43
80Se	Se	80	49.6	7.48	7.48	0.0	0	0	0	7.03	0	7.03	0.61
82Se	Se	82	9.4	6.34	6.34	0.0	0	0	0	5.05	0	5.05	0.044
Br	Br	---	---	6.795	6.795	0.0	---	---	---	5.8	0.1	5.9	6.9
79Br	Br	79	50.69	6.80	6.80	0.0	-1.1	-1.1	0.0	5.81	0.15	5.96	11
81Br	Br	81	49.31	6.79	6.79	0.0	0.6	0.6	0.0	5.79	0.05	5.84	2.7
Kr	Kr	---	---	7.81	7.81	0.0	---	---	---	7.67	0.01	7.68	25.(1.)
78Kr	Kr	78	0.35	---	---	---	0	0	0	---	0	---	6.4
80Kr	Kr	80	2.25	---	---	---	0	0	0	---	0	---	11.8
82Kr	Kr	82	11.6	---	---	---	0	0	0	---	0	---	29.(20.)
83Kr	Kr	83	11.5	---	---	---	---	---	---	---	---	---	185.(30.)
84Kr	Kr	84	57	---	---	---	0	0	0	---	0	6.6	0.113
86Kr	Kr	86	17.3	8.1	8.1	0.0	0	0	0	8.2	0	8.2	0.003
Rb	Rb	---	---	7.09	7.09	0.0	---	---	---	6.32	0.5	6.8	0.38
85Rb	Rb	85	72.17	7.03	7.03	0.0	---	---	---	6.2	0.5	6.7	0.48
87Rb	Rb	87	27.83	7.23	7.23	0.0	---	---	---	6.6	0.5	7.1	0.12
Sr	Sr	---	---	7.02	7.02	0.0	---	---	---	6.19	0.06	6.25	1.28
84Sr	Sr	84	0.56	7.(1.)	7.(1.)	0.0	0	0	0	6.(2.)	0	6.(2.)	0.87
86Sr	Sr	86	9.86	5.67	5.67	0.0	0	0	0	4.04	0	4.04	1.04
87Sr	Sr	87	7	7.40	7.40	0.0	---	---	---	6.88	0.5	7.4	16.(3.)
88Sr	Sr	88	82.58	7.15	7.15	0.0	0	0	0	6.42	0	6.42	0.058
Y	Y	---	100	7.75	7.75	0.0	1.1	1.1	0.0	7.55	0.15	7.7	1.28
Zr	Zr	---	---	7.16	7.16	0.0	---	---	---	6.44	0.02	6.46	0.185
90Zr	Zr	90	51.45	6.4	6.4	0.0	0	0	0	5.1	0	5.1	0.011
91Zr	Zr	91	11.32	8.7	8.7	0.0	-1.08	-1.08	0.0	9.5	0.15	9.7	1.17
92Zr	Zr	92	17.19	7.4	7.4	0.0	0	0	0	6.9	0	6.9	0.22
94Zr	Zr	94	17.28	8.2	8.2	0.0	0	0	0	8.4	0	8.4	0.0499
96Zr	Zr	96	2.76	5.5	5.5	0.0	0	0	0	3.8	0	3.8	0.0229
Nb	Nb	---	100	7.054	7.054	0.0	-0.139	-0.139	0.0	6.253	0.0024	6.255	1.15
Mo	Mo	---	---	6.715	6.715	0.0	---	---	---	5.67	0.04	5.71	2.48
92Mo	Mo	92	14.84	6.91	6.91	0.0	0	0	0	6	0	6	0.019
94Mo	Mo	94	9.25	6.80	6.80	0.0	0	0	0	5.81	0	5.81	0.015
95Mo	Mo	95	15.92	6.91	6.91	0.0	---	---	---	6	0.5	6.5	13.1
96Mo	Mo	96	16.68	6.20	6.20	0.0	0	0	0	4.83	0	4.83	0.5
97Mo	Mo	97	9.55	7.24	7.24	0.0	---	---	---	6.59	0.5	7.1	2.5
98Mo	Mo	98	24.13	6.58	6.58	0.0	0	0	0	5.44	0	5.44	0.127
100Mo	Mo	100	9.63	6.73	6.73	0.0	0	0	0	5.69	0	5.69	0.4
Tc	Tc	---	---	6.8	6.8	0.0	---	---	---	5.8	0.5	6.3	20.(1.)
Ru	Ru	---	---	7.03	7.03	0.0	---	---	---	6.21	0.4	6.6	2.56
96Ru	Ru	96	5.5	---	---	---	0	0	0	---	0	---	0.28
98Ru	Ru	98	1.9	---	---	---	0	0	0	---	0	---	<8.
99Ru	Ru	99	12.7	---	---	---	---	---	---	---	---	---	6.9(1.0)
100Ru	Ru	100	12.6	---	---	---	0	0	0	---	0	---	4.8
