Element	A	Atomic_mass (u)	Abundance										
La	141	140.910962	---										
Ce	134	133.908925	---										
Ce	135	134.909151	---										
Ce	136	135.907172	0.00185										
Ce	137	136.907806	---										
Ce	138	137.905991	0.00251										
Ce	139	138.906653	---										
Ce	140	139.905439	0.8845										
Ce	141	140.908276	---										
Ce	142	141.909244	0.1111										
Ce	143	142.912386	---										
Ce	144	143.913647	---										
Pr	139	138.908938	---										
Pr	140	139.909076	---										
Pr	141	140.907653	1										
Pr	142	141.910045	---										
Pr	143	142.910817	---										
Nd	140	139.909552	---										
Nd	141	140.909610	---										
Nd	142	141.907723	0.272										
Nd	143	142.909814	0.122										
Nd	144	143.910087	0.238										
Nd	145	144.912574	0.083										
Nd	146	145.913117	0.172										
Nd	147	146.916100	---										
Nd	148	147.916893	0.057										
Nd	149	148.920149	---										
Nd	150	149.920891	0.056										
Nd	151	150.923829	---										
Pm	143	142.910933	---										
Pm	144	143.912591	---										
Pm	145	144.912749	---										
Pm	146	145.914696	---										
Pm	147	146.915139	---										
Pm	148	147.917475	---										
Pm	149	148.918334	---										
Sm	142	141.915198	---										
Sm	143	142.914628	---										
Sm	144	143.911999	0.031										
Sm	145	144.913410	---										
Sm	146	145.913041	---										
Sm	147	146.914898	0.15										
Sm	148	147.914823	0.112										
Sm	149	148.917185	0.138										
Sm	150	149.917276	0.074										
Sm	151	150.919932	---										
Sm	152	151.919732	0.267										
Sm	153	152.922097	---										
Sm	154	153.922209	0.227										
Sm	155	154.924640	---										
Eu	149	148.917931	---										
Eu	150	149.919702	---										
Eu	151	150.919850	0.4781										
Eu	152	151.921745	---										
Eu	153	152.921230	0.5219										
Eu	154	153.922979	---										
Eu	155	154.922893	---										
Eu	156	155.924752	---										
Gd	150	149.918659	---										
Gd	151	150.920348	---										
Gd	152	151.919791	0.002										
Gd	153	152.921750	---										
Gd	154	153.920866	0.0218										
Gd	155	154.922622	0.148										
Gd	156	155.922123	0.2047										
Gd	157	156.923960	0.1565										
Gd	158	157.924104	0.2484										
Gd	159	158.926389	---										
Gd	160	159.927054	0.219										
Gd	161	160.929669	---										
Tb	157	156.924025	---										
Tb	158	157.925413	---										
Tb	159	158.925347	1										
Tb	160	159.927168	---										
Tb	161	160.927570	---										
Dy	154	153.924424	---										
Dy	155	154.925754	---										
Dy	156	155.924283	0.0006										
Dy	157	156.925466	---										
Dy	158	157.924409	0.001										
Dy	159	158.925739	---										
Dy	160	159.925198	0.023										
Dy	161	160.926933	0.189										
Dy	162	161.926798	0.255										
Dy	163	162.928731	0.249										
Dy	164	163.929175	0.282										
Dy	165	164.931703	---										
Ho	163	162.928734	---										
Ho	164	163.930234	---										
Ho	165	164.930322	1										
Ho	166	165.932284	---										
Ho	167	166.933133	---										
Er	160	159.929083	---										
Er	161	160.929995	---										
Er	162	161.928778	0.0014										
Er	163	162.930033	---										
Er	164	163.929200	0.016										
Er	165	164.930726	---										
Er	166	165.930293	0.335										
Er	167	166.932048	0.2287										
Er	168	167.932370	0.2698										
Er	169	168.934590	---										
Er	170	169.935464	0.1491										
Er	171	170.938030	---										
Tm	167	166.932852	---										
Tm	168	167.934173	---										
Tm	169	168.934213	1										
Tm	170	169.935801	---										
Tm	171	170.936429	---										
Yb	166	165.933882	---										
Yb	167	166.934950	---										
Yb	168	167.933897	0.0013										
Yb	169	168.935190	---										
Yb	170	169.934762	0.03										
Yb	171	170.936326	0.143										
Yb	172	171.936381	0.218										
Yb	173	172.938211	0.161										
Yb	174	173.938862	0.318										
Yb	175	174.941276	---										
Yb	176	175.942572	0.128										
Yb	177	176.945261	---										
Lu	173	172.938931	---										
Lu	174	173.940337	---										
Lu	175	174.940772	0.9741										
Lu	176	175.942686	0.0259										
Lu	177	176.943758	---										
Hf	172	171.939448	---										
Hf	173	172.940513	---										
Hf	174	173.940046	0.0016										
Hf	175	174.941509	---										
Hf	176	175.941409	0.0526										
Hf	177	176.943221	0.186										
Hf	178	177.943699	0.2728										
Hf	179	178.945816	0.1362										
Hf	180	179.946550	0.3508										
Hf	181	180.949101	---										
Ta	179	178.945930	---										
Ta	180	179.947465	0.00012										
Ta	181	180.947996	0.99988										
Ta	182	181.950152	---										
W	178	177.945876	---										
W	179	178.947070	---										
W	180	179.946704	0.0012										
W	181	180.948197	---										
W	182	181.948204	0.265										
W	183	182.950223	0.143										
W	184	183.950931	0.306										
W	185	184.953419	---										
W	186	185.954364	0.284										
W	187	186.957160	---										
Re	183	182.950820	---										
Re	184	183.952521	---										
Re	185	184.952955	0.374										
Re	186	185.954986	---										
Re	187	186.955753	0.626										
Re	188	187.958114	---										
Os	182	181.952110	---										
Os	183	182.953126	---										
Os	184	183.952489	0.0002										
Os	185	184.954042	---										
Os	186	185.953838	0.016										
Os	187	186.955750	0.016										
Os	188	187.955838	0.133										
Os	189	188.958147	0.162										
Os	190	189.958447	0.264										
Os	191	190.960930	---										
Os	192	191.961481	0.409										
Os	193	192.964152	---										
Ir	189	188.958719	---										
Ir	190	189.960546	---										
Ir	191	190.960594	0.373										
Ir	192	191.962605	---										
Ir	193	192.962926	0.627										
Ir	194	193.965078	---										
Pt	188	187.959395	---										
Pt	189	188.960834	---										
Pt	190	189.959932	0.00014										
Pt	191	190.961677	---										
Pt	192	191.961038	0.0078										
Pt	193	192.962987	---										
Pt	194	193.962680	0.3297										
Pt	195	194.964791	0.3383										
Pt	196	195.964952	0.2524										
Pt	197	196.967340	---										
Pt	198	197.967893	0.0716										
Pt	199	198.970593	---										
Au	195	194.965035	---										
Au	196	195.966570	---										
Au	197	196.966569	1										
Au	198	197.968242	---										
Au	199	198.968765	---										
Hg	194	193.965439	---										
Hg	195	194.966720	---										
Hg	196	195.965833	0.0015										
Hg	197	196.967213	---										
Hg	198	197.966769	0.1										
Hg	199	198.968280	0.169										
Hg	200	199.968326	0.231										
Hg	201	200.970302	0.132										
Hg	202	201.970643	0.299										
Hg	203	202.972872	---										
Hg	204	203.973494	0.069										
Hg	205	204.976073	---										
Tl	201	200.970819	---										
Tl	202	201.972106	---										
Tl	203	202.972344	0.2952										
Tl	204	203.973864	---										
Tl	205	204.974428	0.7048										
Tl	206	205.976110	---										
Pb	202	201.972159	---										
Pb	203	202.973391	---										
Pb	204	203.973044	0.014										
Pb	205	204.974482	---										
Pb	206	205.974465	0.241										
Pb	207	206.975897	0.221										
Pb	208	207.976652	0.524										
Pb	209	208.981090	---										
Bi	207	206.978471	---										
Bi	208	207.979742	---										
Bi	209	208.980399	1										
Bi	210	209.984120	---										
Bi	211	210.987269	---										
Po	207	206.981593	---										
Po	208	207.981246	---										
Po	209	208.982430	---										
Po	210	209.982874	---										
At	209	208.986173	---										
At	210	209.987148	---										
At	211	210.987496	---										
Rn	211	210.990601	---										
Rn	222	222.017578	---										
Fr	212	211.996202	---										
Fr	223	223.019736	---										
Ra	223	223.018502	---										
Ra	224	224.020212	---										
Ra	225	225.023612	---										
Ra	226	226.025410	---										
Ac	225	225.023230	---										
Ac	226	226.026098	---										
Ac	227	227.027752	---										
Th	228	228.028741	---										
Th	229	229.031762	---										
Th	230	230.033134	---										
Th	231	231.036304	---										
Th	232	232.038055	1										
Th	233	233.041582	---										
Pa	230	230.034541	---										
Pa	231	231.035884	---										
Pa	232	232.038592	---										
Pa	234	234.043308	---										
U	233	233.039635	---										
U	234	234.040952	---										
U	235	235.043930	0.0072										
U	236	236.045568	---										
U	237	237.048730	---										
U	238	238.050788	0.99274										
U	239	239.054293	---										
Np	236	236.046570	---										
Np	237	237.048173	---										
Np	238	238.050946	---										
Pu	238	238.049560	---										
Pu	239	239.052163	---										
Pu	240	240.053814	---										
Pu	241	241.056851	---										
Pu	242	242.058743	---										
Am	241	241.056829	---										
Am	242	242.059549	---										
Am	243	243.061381	---										
Cm	244	245.065491	---										
Cm	246	246.067224	---										
Cm	247	247.070354	---										
Cm	248	248.072349	---										
Bk	247	247.070307	---										
Cf	251	251.079587	---										
Cf	254	254.087323	---										
Es	252	252.082979	---										
Fm	257	257.095105	---										
Md	258	258.098431	---										
No	259	259.101031	---										
Lr	260	260.105504	---										
Rf	261	261.108767	---										
Db	262	262.114084	---										
Sg	261	261.116117	---										
Bh	262	262.122892	---										
Hs	264	264.128395	---										
Mt	266	266.137299	---																				
