Atomic_number	Element	Isotopes	Mass	Concentration	bc	bc_error	r_bi	r_bi_error	im_bi	im_bi_error	sigma_a	sigma_a_error	Inc_xs	siggam	sigma_i	
34	Se	82	81.916699	9.4	6.34	0.08	0	0	0	0	0.044	0.003	0	0	1	
35	Br	---	79.904	---	6.795	0.015	---	0	---	0	6.9	0.2	0.10	9	0.01	
35	Br	79	78.918337	50.69	6.80	0.07	-1.1	0.2	0.0	0	11.0	0.7	0.15	6	0.01	
35	Br	81	80.916291	49.31	6.79	0.07	0.6	0.1	0.0	0	2.7	0.2	0.05	2	0.01	
36	Kr	---	83.798	---	7.81	0.02	---	0	---	0	25	1	0.01	14	0.01	
36	Kr	78	77.920365	0.35	---	---	0	0	0	0	6.4	0.9	0	0	1	
36	Kr	80	79.916379	2.25	---	---	0	0	0	0	11.8	0.5	0	0	1	
36	Kr	82	81.913484	11.6	---	---	0	0	0	0	29	20	0	0	1	
36	Kr	83	82.914136	11.5	---	---	---	0	---	0	185	30	---	---	---	
36	Kr	84	83.911507	57	---	---	0	0	0	0	0.113	0.015	0	0	1	
36	Kr	86	85.910611	17.3	8.1	0.2	0	0	0	0	0.003	0.002	0	0	1	
37	Rb	---	85.4678	---	7.09	0.02	---	0	---	0	0.38	0.01	0.5	4	0.1	
37	Rb	85	84.911790	72.17	7.03	0.1	---	0	---	0	0.48	0.01	0.5	5	0.1	
37	Rb	87	86.909181	27.83	7.23	0.12	---	0	---	0	0.12	0.03	0.5	5	0.1	
38	Sr	---	87.62	---	7.02	0.02	---	0	---	0	1.28	0.06	0.06	11	0.01	
38	Sr	84	83.913425	0.56	7.	1	0	0	0	0	0.87	0.07	0	0	1	
38	Sr	86	85.909260	9.86	5.67	0.05	0	0	0	0	1.04	0.07	0	0	1	
38	Sr	87	86.908877	7	7.40	0.07	---	0	---	0	16	3	0.5	5	0.1	
38	Sr	88	87.905612	82.58	7.15	0.06	0	0	0	0	0.058	0.004	0	0	1	
39	Y	---	88.90585	100	7.75	0.02	1.1	0.3	0.0	0	1.28	0.02	0.15	8	0.01	
40	Zr	---	91.224	---	7.16	0.03	---	0	---	0	0.185	0.003	0.02	15	0.01	
40	Zr	90	89.904704	51.45	6.4	0.1	0	0	0	0	0.011	0.005	0	0	1	
40	Zr	91	90.905646	11.32	8.7	0.1	-1.08	0.15	0.0	0	1.17	0.1	0.15	4	0.01	
40	Zr	92	91.905041	17.19	7.4	0.2	0	0	0	0	0.22	0.06	0	0	1	
40	Zr	94	93.906315	17.28	8.2	0.2	0	0	0	0	0.0499	0.0024	0	0	1	
40	Zr	96	95.908273	2.76	5.5	0.1	0	0	0	0	0.0229	0.001	0	0	1	
41	Nb	---	92.90638	100	7.054	0.003	-0.139	0.01	0.0	0	1.15	0.05	0.0024	3	0.0001	
42	Mo	---	95.94	---	6.715	0.02	---	0	---	0	2.48	0.04	0.04	5	0.01	
42	Mo	92	91.906811	14.84	6.91	0.08	0	0	0	0	0.019	0.002	0	0	1	
42	Mo	94	93.905088	9.25	6.80	0.07	0	0	0	0	0.015	0.002	0	0	1	
42	Mo	95	94.905842	15.92	6.91	0.06	---	0	---	0	13.1	0.3	0.5	5	0.1	
42	Mo	96	95.904679	16.68	6.20	0.06	0	0	0	0	0.5	0.2	0	0	1	
42	Mo	97	96.906021	9.55	7.24	0.08	---	0	---	0	2.5	0.2	0.5	5	0.1	
42	Mo	98	97.905408	24.13	6.58	0.07	0	0	0	0	0.127	0.006	0	0	1	
42	Mo	100	99.907477	9.63	6.73	0.07	0	0	0	0	0.4	0.2	0	0	1	
43	Tc	---	---	---	6.8	0.3	---	0	---	0	20	1	0.5	5	0.1	
44	Ru	---	101.07	---	7.03	0.03	---	0	---	0	2.56	0.13	0.4	1	0.1	
44	Ru	96	95.907598	5.5	---	---	0	0	0	0	0.28	0.02	0	0	1	
44	Ru	98	97.905287	1.9	---	---	0	0	0	0	---	0	0	0	1	
44	Ru	99	98.905939	12.7	---	---	---	0	---	0	6.9	1	---	---	---	
44	Ru	100	99.904219	12.6	---	---	0	0	0	0	4.8	0.6	0	0	1	
44	Ru	101	100.905582	17	---	---	---	0	---	0	3.3	0.9	---	---	---	
44	Ru	102	101.904349	31.6	---	---	0	0	0	0	1.17	0.07	0	0	1	
44	Ru	104	103.905433	18.7	---	---	0	0	0	0	0.31	0.02	0	0	1	
45	Rh	---	102.9055	100	5.88	0.04	---	0	---	0	144.8	0.7	0.3	3	0.1	
46	Pd	---	106.42	---	5.91	0.06	---	0	---	0	6.9	0.4	0.093	9	0.001	
46	Pd	102	101.905609	1.02	7.7	0.7	0	0	0	0	3.4	0.3	0	0	1	
46	Pd	104	103.904036	11.14	7.7	0.7	0	0	0	0	0.6	0.3	0	0	1	
46	Pd	105	104.905085	22.33	5.5	0.3	-2.6	1.6	0.0	0	20	3	0.8	10	0.1	
46	Pd	106	105.903486	27.33	6.4	0.4	0	0	0	0	0.304	0.029	0	0	1	
46	Pd	108	107.903892	26.46	4.1	0.3	0	0	0	0	8.5	0.5	0	0	1	
46	Pd	110	109.905153	11.72	7.7	0.7	0	0	0	0	0.226	0.031	0	0	1	
47	Ag	---	107.8682	---	5.922	0.007	---	0	---	0	63.3	0.4	0.58	3	0.01	
47	Ag	107	106.905097	51.83	7.555	0.011	1.00	0.13	0.0	0	37.6	1.2	0.13	3	0.01	
47	Ag	109	108.904752	48.17	4.165	0.011	-1.60	0.13	0.0	0	91.0	1	0.32	5	0.01	
48	Cd	---	112.411	---	4.87	0.05	---	0	---	0	2520	50	3.46	13	0.01	
48	Cd	106	105.906459	1.25	5.	2	0	0	0	0	1	0	0	0	1	
48	Cd	108	107.904184	0.89	5.4	0.1	0	0	0	0	1.1	0.3	0	0	1	
48	Cd	110	109.903002	12.51	5.9	0.1	0	0	0	0	11	1	0	0	1	
48	Cd	111	110.904178	12.81	6.5	0.1	---	0	---	0	24	3	0.3	3	0.1	
48	Cd	112	111.902758	24.13	6.4	0.1	0	0	0	0	2.2	0.5	0	0	1	
48	Cd	113	112.904402	12.22	-8.0	0.2	---	0	---	0	20600	400	0.3	3	0.1	
48	Cd	114	113.903359	28.72	7.5	0.1	0	0	0	0	0.34	0.02	0	0	1	
48	Cd	116	115.904756	7.47	6.3	0.1	0	0	0	0	0.075	0.013	0	0	1	
49	In	---	114.818	---	4.065	0.02	---	0	---	0	193.8	1.5	0.54	11	0.01	
49	In	113	112.904058	4.3	5.39	0.06	0.017	0.001	0.0	0	12.0	1.1	0.000037	5	0.000001	
49	In	115	114.903878	95.7	4.01	0.02	-2.1	0.2	0.0	0	202	2	0.55	11	0.01	
50	Sn	---	118.71	---	6.225	0.002	---	0	---	0	0.626	0.009	0.022	5	0.001	
50	Sn	112	111.904818	1	6.	1	0	0	0	0	1.00	0.11	0	0	1	
50	Sn	114	113.902779	0.7	6.2	0.3	0	0	0	0	0.114	0.03	0	0	1	
50	Sn	115	114.903342	0.4	6.	1	---	0	---	0	30	7	0.3	3	0.1	
50	Sn	116	115.901741	14.7	5.93	0.05	0	0	0	0	0.14	0.03	0	0	1	
50	Sn	117	116.902952	7.7	6.48	0.05	---	0	---	0	2.3	0.5	0.3	3	0.1	
